Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.56678E-13,0.000000001,0,0.992219451,0,0
4.42554E-13,0.000000003,0,0.987830424,0,0
9.43152E-13,0.00000001,0.000000001,0.976758105,0,0
1.76089E-12,0.000000025,0.000000002,0.965486284,0,0
4.85633E-12,0.0000001,0.000000005,0.940947631,0,0
1.11079E-11,0.000000251,0.000000011,0.920798005,0,0
4.06509E-11,0.000001002,0.000000039,0.887481297,0,0
9.21173E-11,0.000002502,0.000000087,0.864239401,0,0
3.03706E-10,0.000010014,0.000000288,0.82244389,0,0
7.04726E-10,0.000025052,0.000000669,0.790822943,0,0
1.21343E-9,0.000050108,0.000001152,0.764089776,0,0
2.10403E-9,0.000100181,0.000001997,0.733067332,0,0
4.21216E-9,0.000250301,0.000003998,0.684488778,0,0
7.74901E-9,0.000500389,0.000007355,0.641296758,0,0
1.60825E-8,0.001000768,0.000015264,0.597506234,0,0
4.54657E-8,0.002504359,0.000043153,0.543541147,0,0
9.48149E-8,0.005004222,0.000089989,0.505735661,0,0
1.81056E-7,0.010016742,0.000171833,0.468528678,0,0
4.21722E-7,0.025027382,0.000400195,0.414663342,0,0
8.25577E-7,0.050052575,0.000783285,0.373566085,0,0
1.7499E-6,0.100101067,0.001659529,0.332568579,0,0
3.99472E-6,0.200260873,0.003784387,0.294763092,0,0
6.65081E-6,0.300341386,0.006292693,0.275411471,0,0
8.84602E-6,0.400233237,0.008360998,0.26244389,0,0
1.1108E-5,0.500308774,0.010487726,0.252468828,0,0
1.29397E-5,0.600138342,0.01220654,0.244189526,0,0
1.48173E-5,0.701171351,0.013965292,0.236907731,0,0
1.56884E-5,0.7502038,0.014780208,0.233715711,0,0
1.65175E-5,0.8002859,0.015555222,0.230623441,0,0
1.79684E-5,0.901794701,0.016910029,0.224738155,0,0
1.95101E-5,1.000694431,0.018347511,0.219451372,0,0
2.13163E-5,1.100996674,0.02002897,0.214563591,0,0
2.32938E-5,1.201376423,0.021866549,0.210074813,0,0
2.54592E-5,1.301794512,0.023874837,0.205985037,0,0
2.75997E-5,1.400083075,0.025855943,0.202294264,0,0
2.94429E-5,1.502818692,0.027558735,0.198703242,0,0
3.44397E-5,1.752570959,0.032159731,0.190922693,0,0
3.95111E-5,2.003562067,0.036807294,0.184139651,0,0
4.52346E-5,2.252564963,0.042025517,0.178254364,0,0
4.97375E-5,2.500287335,0.046111098,0.173067332,0,0
5.47342E-5,2.751712035,0.050624298,0.168279302,0,0
6.03124E-5,3.003452766,0.055637483,0.163890274,0,0
6.52014E-5,3.255606773,0.060009535,0.159900249,0,0
7.02081E-5,3.505479588,0.064465824,0.156209476,0,0
7.38093E-5,3.751685698,0.067658128,0.152817955,0.037037037,0
7.7199E-5,4.000343903,0.070652865,0.149526185,0.037037037,0
8.14595E-5,4.253886927,0.074403451,0.146334165,0.037037037,0
8.63654E-5,4.505896764,0.078703368,0.143341646,0.037037037,0
8.99368E-5,4.753360312,0.081821099,0.140548628,0.037037037,0
9.53959E-5,5.00386842,0.086566264,0.137855362,0.037037037,0
9.91243E-5,5.256567091,0.089793043,0.135261845,0.037037037,0
1.03841E-4,5.500141473,0.093858474,0.13286783,0.037037037,0
1.06404E-4,5.752470381,0.096060115,0.130473815,0.037037037,0
1.10829E-4,6.001530251,0.099848988,0.128179551,0.037037037,0
1.17269E-4,6.252269054,0.105334703,0.125985037,0.037037037,0
1.19801E-4,6.500879959,0.107481714,0.123890274,0.037037037,0
1.22666E-4,6.75539952,0.109905431,0.121795511,0.037037037,0
1.2632E-4,7.003422321,0.112987094,0.119800499,0.037037037,0
1.31026E-4,7.261141601,0.116940038,0.117805486,0.037037037,0
1.35164E-4,7.513380443,0.120402278,0.115910224,0.037037037,0
1.38927E-4,7.760415036,0.123538079,0.114114713,0.037037037,0
1.43611E-4,8.00130101,0.127425892,0.112418953,0.037037037,0
1.47802E-4,8.263192791,0.130890047,0.110623441,0.037037037,0
1.51017E-4,8.502356002,0.133537923,0.109027431,0.037037037,0
1.54774E-4,8.762809386,0.136621809,0.107331671,0.037037037,0
1.607E-4,9.015703341,0.141464354,0.105735661,0.037037037,0
1.63327E-4,9.258877731,0.143602967,0.104239401,0.037037037,0
1.68636E-4,9.508183055,0.147907345,0.102743142,0.037037037,0
1.74415E-4,9.765162294,0.152568312,0.101246883,0.037037037,0
1.79227E-4,10.012901151,0.156429681,0.099850374,0.037037037,0
1.83879E-4,10.266719492,0.16014664,0.098453865,0.074074074,0
1.87638E-4,10.507884539,0.163137455,0.097157107,0.074074074,0
1.92853E-4,10.75561049,0.167269211,0.095860349,0.074074074,0
1.99617E-4,11.011460955,0.172598573,0.094563591,0.074074074,0
2.02726E-4,11.25283984,0.175036247,0.093366584,0.074074074,0
2.08585E-4,11.500306608,0.179611666,0.092169576,0.074074074,0
2.15033E-4,11.753829244,0.184616657,0.090972569,0.074074074,0
2.20922E-4,12.015827093,0.189161513,0.089775561,0.074074074,0
2.25377E-4,12.261938944,0.192583539,0.088678304,0.074074074,0
