X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0031208585513627543,76.96694213012971,0.9482921213026239
2.0,2.0,train,0.0037340391008527183,82.10634559455767,0.9711065959110189
3.0,3.0,train,1.794771697283433E-4,10.026550692147143,0.1566301894777048
4.0,4.0,train,7.364727979819127E-5,3.7406087337578744,0.06751470413579674
5.0,5.0,train,8.637749416895603E-4,36.78194017252146,0.5595009831606002
6.0,6.0,train,5.055245699755343E-4,26.016135339427613,0.3811025967153975
7.0,7.0,train,5.20268731756524E-4,26.792777677594096,0.3897033344716594
8.0,8.0,train,6.982010167419091E-4,32.25654037336471,0.4845389405890359
9.0,9.0,train,0.006919547064292206,95.6031900808404,0.9985949026352079
10.0,10.0,train,0.009306979338513283,98.86447742812354,0.9998542570964636
11.0,11.0,train,0.007058860685156954,96.30908870905036,0.9987689371899413
12.0,12.0,train,0.006468846804589949,94.91122288872631,0.9978447942744048
13.0,13.0,train,0.001073786594269264,44.334903189391575,0.6391086838488809
14.0,14.0,train,0.0011850484990231452,48.76552187636064,0.675276761203361
15.0,15.0,train,0.001123505197377494,46.475272405038524,0.6557436026817878
16.0,16.0,train,0.0017266901371514154,60.80874718556889,0.8058022108954848
17.0,17.0,train,7.955269402025104E-4,35.27928541001925,0.5300222207945988
18.0,18.0,train,0.0015056124608599033,56.78743337565502,0.7604620670405601
19.0,19.0,train,0.011355191400178552,99.99999523231789,0.9999791407952887
20.0,20.0,train,0.004223830196721431,87.28433235119151,0.9818489046593155
21.0,21.0,train,0.003922285096954662,84.791724259556,0.9758341441408976
22.0,22.0,train,0.00174447592301662,61.850463001460206,0.8090530016818592
23.0,23.0,train,0.004079281683969888,85.60453472934546,0.9791797034684292
24.0,24.0,train,0.005019271384776961,91.38061069155846,0.9914686941770039
25.0,25.0,train,0.0021832097020730305,69.90194311290624,0.8740891361784627
26.0,26.0,train,0.00452535867102625,89.02325797355954,0.9863664062663156
27.0,27.0,train,0.001098852327903511,45.28995756085502,0.6475933193653007
