X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0037124607720309256,80.61832231086237,0.969881002695361
2.0,2.0,train,0.004112938825959448,84.54013285608217,0.9793582304143279
3.0,3.0,train,2.712195638671176E-4,13.946114660736724,0.22577116736222336
4.0,4.0,train,1.0236936953692474E-4,6.035171010570315,0.09206504092065115
5.0,5.0,train,0.0011970772697088143,52.06262680120742,0.6767753599984487
6.0,6.0,train,4.839045881411373E-4,24.45249227454015,0.36653463765018046
7.0,7.0,train,5.544367770639034E-4,27.746563001310445,0.40731666867215754
8.0,8.0,train,7.359184569132499E-4,34.693829737957536,0.5005849374105049
9.0,9.0,train,0.0065780248607772065,93.43231031803985,0.9979830642043785
10.0,10.0,train,0.00869665048537752,96.41779854982998,0.9997267265839351
11.0,11.0,train,0.006257472146829402,92.1350863848344,0.9972707915443763
12.0,12.0,train,0.005761204938942184,90.89006040023573,0.9956410754895084
13.0,13.0,train,8.719579174423146E-4,38.9930295401834,0.5607414246366125
14.0,14.0,train,9.291885864790789E-4,41.84064743534051,0.5838304406998844
15.0,15.0,train,8.748085933470293E-4,39.2991429795517,0.56192123652246
16.0,16.0,train,0.0012366537479948964,53.52852421072497,0.6886217843243229
17.0,17.0,train,0.0012021452604584165,52.22930824366705,0.6783171703751955
18.0,18.0,train,0.0015204544813021375,59.60410417009608,0.7617666793382698
19.0,19.0,train,0.015998376791852457,99.99999286524425,0.9999997215437653
20.0,20.0,train,0.004240458949993739,84.96423896338422,0.9816980954050495
21.0,21.0,train,0.004350185830828827,85.83189304624368,0.9834980096975523
22.0,22.0,train,0.0024596503564924864,71.6761676725126,0.9017862291570575
23.0,23.0,train,0.004479273137219851,86.27996229952,0.985390224421062
24.0,24.0,train,0.005543549823518737,89.74769515443997,0.9946474309084115
25.0,25.0,train,0.003458049824618263,78.09681935665941,0.9617101262046066
26.0,26.0,train,0.004327105899334241,85.3969325671985,0.9831347339337528
27.0,27.0,train,7.676060690328357E-4,35.54626985013446,0.5152946430400673
