Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.82891E-12,0.000000001,0.000000002,0.999102334,0,0
2.7601E-12,0.000000003,0.000000003,0.99850389,0,0
5.37413E-12,0.00000001,0.000000005,0.996509076,0,0
7.85189E-12,0.000000025,0.000000007,0.994215041,0,0
1.75128E-11,0.000000101,0.000000017,0.988031119,0,0
2.75337E-11,0.000000251,0.000000026,0.981448235,0,0
5.95603E-11,0.000001005,0.000000056,0.963794135,0,0
1.0713E-10,0.000002508,0.000000101,0.945741073,0,0
3.06457E-10,0.000010004,0.000000289,0.906941951,0,0
6.81077E-10,0.000025043,0.000000643,0.875224417,0,0
1.36898E-9,0.000050006,0.000001292,0.849890285,0,0
2.3873E-9,0.0001002,0.000002252,0.822561341,0,0
5.24512E-9,0.00025033,0.000004949,0.782166367,0,0
9.03011E-9,0.00050027,0.00000852,0.746758428,0,0
1.56751E-8,0.00100105,0.000014789,0.706064233,0,0
3.24146E-8,0.00250277,0.000030582,0.641432276,0,0
6.15468E-8,0.005003579,0.000058066,0.585876721,0,0
1.3525E-7,0.010000839,0.000127597,0.533213645,0,0
3.68737E-7,0.025023565,0.000347832,0.467684022,0,0
7.19948E-7,0.050043437,0.00067902,0.420606423,0,0
1.446E-6,0.100056688,0.001363334,0.373129862,0,0
3.06036E-6,0.200086797,0.002883194,0.327847596,0,0
4.67733E-6,0.300122477,0.004403198,0.301516058,0,0
6.58481E-6,0.400320447,0.006193315,0.283462996,0,0
8.237E-6,0.500217423,0.007741248,0.269998005,0,0
1.03214E-5,0.600580025,0.009690725,0.259226012,0,0
1.24661E-5,0.701166776,0.011692472,0.250349092,0,0
1.33491E-5,0.750252453,0.012515501,0.246558947,0,0
1.46012E-5,0.800421252,0.013681331,0.242968282,0,0
1.61734E-5,0.90040907,0.015143291,0.236485139,0,0
1.8205E-5,1.000319278,0.017029236,0.23070018,0,0
2.02413E-5,1.10062793,0.018915898,0.225513664,0,0
2.2048E-5,1.201594882,0.020586743,0.220726112,0,0
2.36683E-5,1.30215103,0.022082879,0.216337522,0,0
2.5251E-5,1.402355707,0.02354204,0.212248155,0,0
2.62742E-5,1.500413019,0.024484266,0.208458009,0,0
2.98098E-5,1.750896668,0.027732901,0.199581089,0,0
3.41612E-5,2.000225964,0.031716226,0.191801317,0,0
3.91612E-5,2.25333342,0.036273247,0.18491921,0,0
4.41754E-5,2.504261431,0.04082161,0.17893477,0,0
4.87038E-5,2.750868915,0.044910899,0.173648514,0,0
5.34947E-5,3.002917243,0.049218223,0.168761221,0,0
5.93208E-5,3.255826626,0.054430096,0.16427289,0,0
6.40865E-5,3.504586159,0.058672126,0.160283264,0,0
6.75066E-5,3.755667018,0.061704622,0.156493118,0,0
7.07823E-5,4.004801502,0.064600004,0.152902454,0,0
7.60633E-5,4.2535684,0.069249057,0.149511271,0,0
7.89184E-5,4.501588523,0.071752849,0.146319569,0,0
8.29267E-5,4.752986764,0.075256544,0.143227608,0,0
8.69915E-5,5.007876093,0.078796174,0.140235388,0,0
9.13846E-5,5.258095584,0.082606449,0.137442649,0,0
9.41831E-5,5.508958738,0.08502545,0.134749651,0,0
9.85801E-5,5.759261595,0.0888133,0.132156393,0,0
1.02007E-4,6.010004478,0.091754514,0.129662877,0,0
1.056E-4,6.259538013,0.094828138,0.1272691,0.037037037,0
1.11586E-4,6.509092642,0.09992616,0.124975065,0.037037037,0
1.15288E-4,6.759582152,0.103064349,0.12278077,0.037037037,0
1.18335E-4,7.004290309,0.105638499,0.120686216,0.037037037,0
1.214E-4,7.256583304,0.108221023,0.118591662,0.037037037,0
1.25534E-4,7.504283682,0.11169261,0.116596848,0.037037037,0
1.30641E-4,7.760293212,0.115962623,0.114602035,0.037037037,0
1.34602E-4,8.012767849,0.119260615,0.112706962,0.037037037,0
1.39925E-4,8.260381803,0.123672328,0.11091163,0.037037037,0
1.44566E-4,8.501748837,0.127500686,0.109216038,0.037037037,0
1.51201E-4,8.754671761,0.132945724,0.107520447,0.037037037,0
1.58191E-4,9.001101852,0.13864502,0.105924596,0.037037037,0
1.64402E-4,9.259751452,0.143677814,0.104328745,0.037037037,0
1.6928E-4,9.510417047,0.147609692,0.102832635,0.037037037,0
1.73635E-4,9.751285081,0.151105117,0.101436266,0.037037037,0
1.77738E-4,10.015388892,0.154384837,0.099940156,0.037037037,0
1.86416E-4,10.253256113,0.161279797,0.098643527,0.037037037,0
1.91406E-4,10.500028011,0.165219215,0.097346898,0.037037037,0
1.97275E-4,10.752631506,0.169829,0.096050269,0.037037037,0
2.01238E-4,11.012569452,0.172927092,0.094753641,0.037037037,0
2.07636E-4,11.258540457,0.177904177,0.093556752,0.037037037,0
2.14952E-4,11.512301403,0.183559324,0.092359864,0.037037037,0
2.19159E-4,11.751124571,0.186793175,0.091262717,0.037037037,0
2.24317E-4,12.017112836,0.190741247,0.090065829,0.037037037,0
2.28831E-4,12.266736609,0.19418035,0.088968681,0.037037037,0
2.335E-4,12.520928829,0.197722646,0.087871534,0.037037037,0
2.4046E-4,12.758490994,0.202973231,0.086874127,0.037037037,0
2.44662E-4,13.000668573,0.206126979,0.085876721,0.037037037,0
2.49235E-4,13.272319221,0.209544221,0.084779573,0.037037037,0
2.58621E-4,13.50182542,0.216513315,0.083881907,0.037037037,0
2.64439E-4,13.763472709,0.220802384,0.0828845,0.037037037,0
2.73428E-4,14.005601319,0.227382326,0.081986834,0.074074074,0
2.77762E-4,14.254191609,0.230535309,0.081089168,0.074074074,0
2.81997E-4,14.506234341,0.233604144,0.080191502,0.074074074,0
2.90921E-4,14.763813908,0.240029734,0.079293836,0.074074074,0
2.96471E-4,15.028636092,0.24399825,0.07839617,0.074074074,0
3.0065E-4,15.267500016,0.246973043,0.077598245,0.074074074,0
3.05668E-4,15.510729266,0.250530228,0.076800319,0.074074074,0
3.11662E-4,15.758025421,0.254756513,0.076002394,0.074074074,0
3.14399E-4,16.00869762,0.256678288,0.075204468,0.074074074,0
3.19821E-4,16.262717859,0.260471243,0.074406543,0.074074074,0
3.24264E-4,16.520338779,0.263564508,0.073608618,0.074074074,0
3.27855E-4,16.78113744,0.266055284,0.072810692,0.074074074,0
3.34088E-4,17.013577993,0.270359058,0.072112507,0.074074074,0
3.39211E-4,17.283274398,0.273876917,0.071314582,0.074074074,0
3.42843E-4,17.522485596,0.276360558,0.070616397,0.074074074,0
3.45843E-4,17.763593078,0.278406056,0.069918213,0.074074074,0
3.49359E-4,18.007207531,0.280795715,0.069220028,0.074074074,0
3.52673E-4,18.252779988,0.283041203,0.068521843,0.074074074,0
3.56661E-4,18.501853373,0.285733699,0.067823658,0.074074074,0
3.59731E-4,18.75279729,0.287799257,0.067125474,0.074074074,0
3.65643E-4,19.00731195,0.291760664,0.066427289,0.074074074,0
3.70575E-4,19.264938383,0.295048896,0.065729104,0.074074074,0
3.77711E-4,19.527310683,0.299778803,0.06503092,0.074074074,0
3.81351E-4,19.755049301,0.302179992,0.064432476,0.074074074,0
3.86622E-4,20.024553657,0.30564126,0.063734291,0.074074074,0
3.89793E-4,20.257389418,0.307715545,0.063135847,0.074074074,0
3.91995E-4,20.530934369,0.309152315,0.062437662,0.074074074,0
4.00654E-4,20.770022945,0.314773421,0.061839218,0.074074074,0
4.07435E-4,21.012168656,0.319142802,0.061240774,0.074074074,0
4.14711E-4,21.25941942,0.323801224,0.06064233,0.074074074,0
4.16986E-4,21.509090977,0.325250534,0.060043886,0.074074074,0
4.21396E-4,21.760995409,0.328052272,0.059445442,0.074074074,0
4.27533E-4,22.015846736,0.331931542,0.058846998,0.074074074,0
4.31958E-4,22.273497556,0.334715169,0.058248554,0.074074074,0
4.35482E-4,22.534054713,0.336923094,0.05765011,0.074074074,0
4.40652E-4,22.753056435,0.340150067,0.057151406,0.074074074,0
4.49258E-4,23.020133915,0.345485826,0.056552962,0.074074074,0
4.57388E-4,23.292482323,0.350486895,0.055954518,0.074074074,0
4.64196E-4,23.523186109,0.354645446,0.055455815,0.074074074,0
4.6622E-4,23.75592599,0.355876667,0.054957112,0.074074074,0
4.73259E-4,24.038324027,0.360140041,0.054358667,0.074074074,0
4.81494E-4,24.277062717,0.36509217,0.053859964,0.074074074,0
4.84815E-4,24.518747122,0.367078551,0.053361261,0.111111111,0
4.89415E-4,24.762484507,0.369819552,0.052862557,0.111111111,0
4.91689E-4,25.007919244,0.371170007,0.052363854,0.111111111,0
4.94021E-4,25.254365768,0.372552243,0.051865151,0.111111111,0
5.00719E-4,25.503291889,0.376504543,0.051366447,0.111111111,0
5.05239E-4,25.754906106,0.379158005,0.050867744,0.111111111,0
5.17538E-4,26.011169787,0.386320032,0.05036904,0.111111111,0
5.27028E-4,26.27234721,0.391790362,0.049870337,0.111111111,0
5.32005E-4,26.537606096,0.394639573,0.049371634,0.111111111,0
5.35308E-4,26.751481648,0.396523046,0.048972671,0.111111111,0
5.39991E-4,27.020502544,0.399183772,0.048473968,0.111111111,0
5.47762E-4,27.29293896,0.403572629,0.047975264,0.111111111,0
5.51877E-4,27.512795042,0.405883616,0.047576302,0.111111111,0
5.54911E-4,27.789870729,0.407581898,0.047077598,0.148148148,0
5.58441E-4,28.01254617,0.409551425,0.046678636,0.148148148,0
5.64199E-4,28.294074647,0.412750426,0.046179932,0.148148148,0
5.69076E-4,28.520983956,0.415446509,0.045780969,0.148148148,0
5.74281E-4,28.807009508,0.418309743,0.045282266,0.148148148,0
5.81861E-4,29.038678581,0.422455204,0.044883303,0.148148148,0
5.92905E-4,29.274525159,0.428441416,0.044484341,0.148148148,0
5.94942E-4,29.512159403,0.429538873,0.044085378,0.148148148,0
5.99952E-4,29.751305935,0.43222891,0.043686415,0.148148148,0
6.09388E-4,30.05386591,0.437261264,0.043187712,0.148148148,0
6.15985E-4,30.298947511,0.44075308,0.042788749,0.148148148,0
6.21537E-4,30.546251404,0.44367465,0.042389787,0.148148148,0
6.30068E-4,30.796783807,0.448134415,0.041990824,0.148148148,0
6.38935E-4,31.050918232,0.452732137,0.041591861,0.148148148,0
6.43448E-4,31.307535422,0.455057232,0.041192898,0.148148148,0
6.51133E-4,31.502218218,0.458994329,0.040893676,0.148148148,0
6.58268E-4,31.764300191,0.462623787,0.040494714,0.148148148,0
6.68855E-4,32.030068583,0.467964575,0.040095751,0.148148148,0
6.76178E-4,32.299482311,0.471627684,0.039696788,0.148148148,0
6.86989E-4,32.503603388,0.47698992,0.039397566,0.148148148,0
6.9591E-4,32.781321305,0.481373358,0.038998604,0.148148148,0
7.02323E-4,33.061077682,0.484501955,0.038599641,0.148148148,0
7.05312E-4,33.272309169,0.485953272,0.038300419,0.148148148,0
7.10697E-4,33.555213601,0.488558429,0.037901456,0.148148148,0
7.18835E-4,33.770206174,0.492470048,0.037602234,0.148148148,0
7.27229E-4,34.060305473,0.496474007,0.037203271,0.148148148,0
7.30997E-4,34.279409868,0.498260532,0.036904049,0.148148148,0
7.34159E-4,34.572602345,0.499755393,0.036505087,0.148148148,0
7.37363E-4,34.793359423,0.50126531,0.036205865,0.185185185,0
7.45127E-4,35.015740581,0.504905119,0.035906643,0.185185185,0
7.57566E-4,35.316807554,0.510681247,0.03550768,0.185185185,0
7.67606E-4,35.546268754,0.515294643,0.035208458,0.185185185,0
7.82284E-4,35.779332649,0.521960825,0.034909236,0.222222222,0
7.96424E-4,36.016758787,0.528295545,0.034610014,0.222222222,0
8.07091E-4,36.257871088,0.533019273,0.034310792,0.222222222,0
8.10737E-4,36.500993381,0.53462285,0.03401157,0.222222222,0
8.16643E-4,36.827131904,0.537208492,0.033612607,0.222222222,0
8.21047E-4,37.072847081,0.539127724,0.033313385,0.222222222,0
8.29212E-4,37.320958367,0.542664364,0.033014163,0.222222222,0
8.38733E-4,37.571544789,0.546753817,0.032714941,0.222222222,0
8.48948E-4,37.825804222,0.551101313,0.032415719,0.222222222,0
8.59356E-4,38.083217946,0.555487535,0.032116497,0.222222222,0
8.61222E-4,38.255449702,0.556269457,0.031917016,0.222222222,0
8.6631E-4,38.514845473,0.558394641,0.031617794,0.222222222,0
8.70842E-4,38.775404672,0.560278908,0.031318572,0.222222222,0
8.72183E-4,39.036924868,0.560834807,0.03101935,0.259259259,0
8.74809E-4,39.299183592,0.561921237,0.030720128,0.259259259,0
8.80517E-4,39.562909945,0.564274203,0.030420906,0.296296296,0
8.84707E-4,39.827873191,0.565993256,0.030121684,0.296296296,0
8.85356E-4,40.004909098,0.566259154,0.029922202,0.296296296,0
8.97023E-4,40.27283189,0.571007374,0.02962298,0.296296296,0
9.03301E-4,40.543292354,0.573540533,0.029323758,0.296296296,0
9.0831E-4,40.815330971,0.575551274,0.029024536,0.296296296,0
9.12168E-4,41.088573499,0.577093531,0.028725314,0.296296296,0
9.18703E-4,41.272191095,0.579692857,0.028525833,0.296296296,0
9.2534E-4,41.548733225,0.582316757,0.028226611,0.296296296,0
9.28868E-4,41.826997001,0.583704461,0.027927389,0.296296296,0
9.33242E-4,42.013240039,0.58541887,0.027727907,0.333333333,0
9.4671E-4,42.295922441,0.590653408,0.027428685,0.333333333,0
9.5105E-4,42.58075241,0.5923263,0.027129463,0.333333333,0
9.60869E-4,42.772743867,0.596085487,0.026929982,0.333333333,0
9.63093E-4,43.061446369,0.596932167,0.02663076,0.333333333,0
9.71112E-4,43.255507935,0.599970035,0.026431279,0.333333333,0
9.75201E-4,43.547414461,0.60151034,0.026132057,0.333333333,0
9.82724E-4,43.841909919,0.604328615,0.025832835,0.333333333,0
9.86622E-4,44.038872676,0.605781304,0.025633353,0.333333333,0
9.90181E-4,44.335768255,0.607102744,0.025334131,0.333333333,0
9.9576E-4,44.534465925,0.609165206,0.02513465,0.333333333,0
1.0077E-3,44.835632938,0.613544964,0.024835428,0.333333333,0
1.0182E-3,45.038894211,0.617354644,0.024635947,0.333333333,0
1.02107E-3,45.344776592,0.618386658,0.024336725,0.333333333,0
1.0267E-3,45.549620723,0.620408232,0.024137243,0.333333333,0
1.0332E-3,45.756223981,0.622731141,0.023937762,0.333333333,0
1.0352E-3,46.066432986,0.623441934,0.02363854,0.333333333,0
1.0409E-3,46.274487471,0.625462567,0.023439058,0.333333333,0
1.04474E-3,46.58783553,0.626815528,0.023139836,0.333333333,0
1.04861E-3,46.797181769,0.628175621,0.022940355,0.333333333,0
1.05258E-3,47.007615295,0.629565289,0.022740874,0.333333333,0
1.06418E-3,47.325661729,0.633598087,0.022441652,0.333333333,0
1.07068E-3,47.539567294,0.635836961,0.02224217,0.333333333,0
1.07465E-3,47.754147265,0.637200422,0.022042689,0.333333333,0
1.08224E-3,48.078410799,0.639788162,0.021743467,0.333333333,0
1.08569E-3,48.295492023,0.640957668,0.021543986,0.333333333,0
1.09079E-3,48.513366301,0.642680918,0.021344504,0.333333333,0
