Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.01624E-13,0.000000001,0.000000001,0.997506483,0,0
1.19906E-12,0.000000003,0.000000001,0.995910632,0,0
2.51572E-12,0.00000001,0.000000002,0.991921005,0,0
4.07035E-12,0.000000025,0.000000004,0.987432675,0,0
9.25193E-12,0.000000101,0.000000009,0.975364053,0,0
1.56803E-11,0.00000025,0.000000016,0.963295432,0,0
4.05794E-11,0.000001002,0.00000004,0.934370636,0,0
9.13746E-11,0.000002506,0.000000091,0.910732097,0,0
3.35961E-10,0.000010013,0.000000333,0.871733493,0,0
7.50741E-10,0.000025065,0.000000744,0.843107919,0,0
1.3156E-9,0.000050068,0.000001303,0.818372232,0,0
2.42382E-9,0.000100224,0.000002401,0.791043287,0,0
5.03141E-9,0.00025032,0.000004984,0.749650908,0,0
8.675E-9,0.000500084,0.000008592,0.71294634,0,0
1.55239E-8,0.001001498,0.000015376,0.670357072,0,0
3.49555E-8,0.002500701,0.000034622,0.607420706,0,0
7.40718E-8,0.005006589,0.000073364,0.559445442,0,0
1.63255E-7,0.010011644,0.000161687,0.515060842,0,0
3.87327E-7,0.025033589,0.000383567,0.457310991,0,0
7.95298E-7,0.050078514,0.000787418,0.413225613,0,0
1.55384E-6,0.100039531,0.001537865,0.368741273,0,0
3.29391E-6,0.200004604,0.00325724,0.325054857,0,0
5.16325E-6,0.300039961,0.005101046,0.300718133,0,0
7.10301E-6,0.400500792,0.007010707,0.284360662,0,0
8.9448E-6,0.500729594,0.008820523,0.271992819,0,0
1.07471E-5,0.60035482,0.010588314,0.26181927,0,0
1.24637E-5,0.700158012,0.012269148,0.253241572,0,0
1.33122E-5,0.750373109,0.013098966,0.249351686,0,0
1.41214E-5,0.801021155,0.013889591,0.245661281,0,0
1.61147E-5,0.900307208,0.015834623,0.239078396,0,0
1.75962E-5,1.000918456,0.017277729,0.233093956,0,0
1.89475E-5,1.101427824,0.018592101,0.227608219,0,0
2.11503E-5,1.200034423,0.020731084,0.222720926,0,0
2.27277E-5,1.301222505,0.022259828,0.218132855,0,0
2.40536E-5,1.402325077,0.02354302,0.213844006,0,0
2.55875E-5,1.501490444,0.025025433,0.209854379,0,0
2.98404E-5,1.751652752,0.02912385,0.200877718,0,0
3.40659E-5,2.001975211,0.033178757,0.192998205,0,0
3.75853E-5,2.25289353,0.036543139,0.186016357,0,0
4.27662E-5,2.502618313,0.041474465,0.179832436,0,0
4.74105E-5,2.751008904,0.045873651,0.174346699,0,0
5.28268E-5,3.001701405,0.050978599,0.169359665,0,0
5.92153E-5,3.25476676,0.056964758,0.164871335,0,0
6.35239E-5,3.500221617,0.060980669,0.160881708,0,0
6.76697E-5,3.755900504,0.064828695,0.156991821,0,0
7.23485E-5,4.001130395,0.069152537,0.153500898,0,0
7.60167E-5,4.253949906,0.072528433,0.150109715,0,0
8.07969E-5,4.504823352,0.076909302,0.146918013,0,0
8.40269E-5,4.751459386,0.079857811,0.143925793,0,0
8.8104E-5,5.001651042,0.083566058,0.141033313,0,0
9.12743E-5,5.253399045,0.086439267,0.138240575,0,0
9.3871E-5,5.503561743,0.088785936,0.135547576,0.037037037,0
9.68937E-5,5.751721532,0.091509934,0.132954319,0.037037037,0
1.01483E-4,6.009136401,0.095630429,0.130361061,0.037037037,0
1.05644E-4,6.258261125,0.099350269,0.127967285,0.037037037,0
1.1041E-4,6.506875725,0.103591894,0.12567325,0.037037037,0
1.15392E-4,6.755441035,0.108003872,0.123478955,0.037037037,0
1.20883E-4,7.003766623,0.112842371,0.121384401,0.037037037,0
1.24805E-4,7.250237835,0.116281813,0.119389587,0.037037037,0
1.29722E-4,7.506300822,0.120575076,0.117394774,0.037037037,0
1.33516E-4,7.756490153,0.123873594,0.115499701,0.037037037,0
1.37449E-4,8.000637329,0.12728046,0.113704369,0.037037037,0
1.43397E-4,8.253782864,0.132406351,0.111909037,0.037037037,0
1.47868E-4,8.501249209,0.136239838,0.110213445,0.037037037,0
1.53399E-4,8.758512545,0.140958892,0.108517854,0.037037037,0
1.57613E-4,9.008274361,0.144537494,0.106922003,0.037037037,0
1.62482E-4,9.250252871,0.148653189,0.105425893,0.037037037,0
1.66945E-4,9.513465019,0.152407776,0.103830042,0.037037037,0
1.71992E-4,9.751274903,0.156634532,0.102433672,0.037037037,0
1.80996E-4,10.016601741,0.164122531,0.100937562,0.037037037,0
1.8641E-4,10.254941705,0.168592774,0.099640934,0.037037037,0
1.93422E-4,10.502074032,0.174347363,0.098344305,0.037037037,0
1.98799E-4,10.757979591,0.178732385,0.097047676,0.037037037,0
2.03808E-4,11.019597071,0.182797525,0.095751047,0.037037037,0
2.0717E-4,11.266805399,0.185513552,0.094554159,0.037037037,0
2.12636E-4,11.518459718,0.18991161,0.093357271,0.037037037,0
2.17239E-4,11.755244968,0.193596287,0.092260124,0.037037037,0
2.20164E-4,12.017553198,0.19592974,0.091063236,0.037037037,0
2.26823E-4,12.262627384,0.201215475,0.089966088,0.037037037,0
2.31864E-4,12.514940837,0.205193835,0.088868941,0.037037037,0
2.39108E-4,12.750836738,0.210875897,0.087871534,0.037037037,0
2.43094E-4,13.016059053,0.213985573,0.086774387,0.037037037,0
2.49541E-4,13.26343049,0.218988343,0.08577698,0.074074074,0
2.55605E-4,13.515927676,0.22366591,0.084779573,0.074074074,0
2.61026E-4,13.774014314,0.227822911,0.083782166,0.074074074,0
2.7028E-4,14.012652017,0.234868184,0.0828845,0.074074074,0
2.74721E-4,14.257791347,0.238226529,0.081986834,0.074074074,0
2.79945E-4,14.508020616,0.242158027,0.081089168,0.074074074,0
2.8451E-4,14.762882651,0.245576947,0.080191502,0.074074074,0
2.86325E-4,15.020028624,0.246931526,0.079293836,0.074074074,0
2.92439E-4,15.252229914,0.251478172,0.078495911,0.074074074,0
2.97941E-4,15.518034605,0.255546797,0.077598245,0.074074074,0
3.03547E-4,15.759571832,0.259668659,0.076800319,0.074074074,0
3.07453E-4,16.004455963,0.262527571,0.076002394,0.074074074,0
3.11351E-4,16.251939217,0.265369318,0.075204468,0.074074074,0
3.14284E-4,16.50264851,0.26750042,0.074406543,0.074074074,0
3.17345E-4,16.755457853,0.26971752,0.073608618,0.074074074,0
3.24184E-4,17.011982933,0.274648101,0.072810692,0.074074074,0
3.28706E-4,17.272524997,0.277889777,0.072012767,0.074074074,0
3.33204E-4,17.504410949,0.281099581,0.071314582,0.074074074,0
3.3751E-4,17.772772565,0.284158707,0.070516657,0.074074074,0
3.39701E-4,18.009802636,0.285710629,0.069818472,0.074074074,0
3.43637E-4,18.283294387,0.288490112,0.069020547,0.074074074,0
3.48886E-4,18.525299516,0.29217947,0.068322362,0.074074074,0
3.53613E-4,18.771551381,0.295486023,0.067624177,0.074074074,0
3.57552E-4,19.020227434,0.298229359,0.066925992,0.074074074,0
3.65859E-4,19.273777253,0.303979928,0.066227808,0.074074074,0
3.69858E-4,19.531702058,0.306730835,0.065529623,0.074074074,0
3.71835E-4,19.754513468,0.308087593,0.064931179,0.074074074,0
3.74625E-4,20.016424951,0.309996594,0.064232994,0.074074074,0
3.7899E-4,20.280767033,0.312973629,0.063534809,0.074074074,0
3.87153E-4,20.510895406,0.318505987,0.062936365,0.074074074,0
3.90416E-4,20.783511822,0.320704877,0.062238181,0.074074074,0
3.93995E-4,21.019227466,0.323108599,0.061639737,0.074074074,0
4.00386E-4,21.257727293,0.327379671,0.061041293,0.074074074,0
4.06049E-4,21.500439967,0.331142389,0.060442849,0.074074074,0
4.08669E-4,21.78569654,0.332875946,0.059744664,0.074074074,0
4.11454E-4,22.031775306,0.334713687,0.05914622,0.074074074,0
4.1789E-4,22.280727659,0.338941231,0.058547776,0.074074074,0
4.21675E-4,22.532888129,0.341414404,0.057949332,0.074074074,0
4.25628E-4,22.787078352,0.343988483,0.057350888,0.074074074,0
