species,lon,lat
bijayasal,82.9118517055858,27.7366863604619
bijayasal,81.0874587468628,28.4273887408745
bijayasal,83.0363416379231,27.6016542173739
bijayasal,80.6772898009222,28.8510392606412
bijayasal,80.7762671770331,28.8163446600079
bijayasal,80.7838331094342,28.8102733411251
bijayasal,80.2040742104337,29.0180177649323
bijayasal,80.1921313050463,29.024742664178
bijayasal,80.3046062946581,28.9849462198267
bijayasal,80.312020723656,28.9984415766929
bijayasal,80.4432864494765,28.879673755869
bijayasal,83.6572570142209,27.6287927046195
bijayasal,83.6674525890924,27.6022611299575
bijayasal,83.6141906741053,27.6409797828583
bijayasal,83.4663497404285,27.7486082089512
bijayasal,83.4793805103665,27.6638400056496
bijayasal,83.4871953841461,27.6580966988856
bijayasal,83.2305992811209,27.7026488686059
bijayasal,83.2340396328478,27.7117705409761
bijayasal,83.2396861539092,27.6888852777793
bijayasal,83.2463332882759,27.6971606324719
bijayasal,82.4428193527599,27.8462540117722
