species,lon,lat
bijayasal,82.9120694371266,27.7363765082604
bijayasal,82.9304429651588,27.7401102053945
bijayasal,81.0874587468628,28.4273887408745
bijayasal,81.3395780129838,28.2110454790431
bijayasal,83.0360268617726,27.6016137140368
bijayasal,80.6783401829477,28.8495253862551
bijayasal,80.7766848172195,28.8175458332441
bijayasal,80.7831693864012,28.8091078982295
bijayasal,80.2038424130277,29.0174477864419
bijayasal,80.1930114146857,29.0238093058197
bijayasal,80.3016361031696,28.9808963686638
bijayasal,80.3118735319692,28.9989643094535
bijayasal,80.4354682966189,28.8690267752399
bijayasal,80.4479236999335,28.871524381405
bijayasal,80.4432864494765,28.879673755869
bijayasal,83.6572570142209,27.6287927046195
bijayasal,83.6674525890924,27.6022611299575
bijayasal,83.6141906741053,27.6409797828583
bijayasal,83.4662793862887,27.7486365327516
bijayasal,83.4793805103665,27.6638400056496
bijayasal,83.4877765107186,27.6586998193384
bijayasal,83.5046835794694,27.6460158712845
bijayasal,83.2289812951975,27.6993632074512
bijayasal,83.2340396328478,27.7117705409761
bijayasal,83.2398866207568,27.6887737495432
bijayasal,83.2463332882759,27.6971606324719
bijayasal,82.4411435343697,27.84469199761
